iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
0,23.617204666137695,91.87213944302573,84.0833527834412,184.0
1,25.257929801940918,111.28989500489372,83.4818191296896,186.8
2,22.43453311920166,160.9033134119659,89.22727212745295,199.8
3,18.435603141784668,160.9033134119659,92.93373431028789,204.8
4,14.939365148544312,160.9033134119659,89.72204060540041,199.4
5,13.15042233467102,160.9033134119659,90.24945522303238,201.0
6,14.552658796310425,160.9033134119659,89.23953294332745,200.0
7,14.480064868927002,160.9033134119659,90.27348375080987,201.4
8,16.494986534118652,160.9033134119659,90.83879376979168,201.8
9,14.086724042892456,160.9033134119659,88.64315736810991,196.8
10,14.637670993804932,160.9033134119659,90.70690138651611,198.9
11,19.12976884841919,160.9033134119659,85.11169244224672,180.7
12,20.43161678314209,160.9033134119659,73.52888254140682,156.1
13,18.567041397094727,160.9033134119659,76.10323507834623,163.6
14,15.351576805114746,160.9033134119659,75.0429084599244,161.9
15,15.192466735839844,160.9033134119659,75.60128669160478,162.0
16,14.802553653717041,160.9033134119659,76.6235451654253,160.6
17,15.66003704071045,160.9033134119659,81.26348330378694,175.5
18,15.634015798568726,160.9033134119659,91.96688731338408,201.6
19,12.4671950340271,160.9033134119659,91.6597189592523,200.5
20,13.143561363220215,160.9033134119659,98.16985408979579,208.6
21,14.704755067825317,230.78125600069652,121.17818037027905,242.8
22,16.203115940093994,230.78125600069652,133.2180709958181,253.3
23,19.79563617706299,230.78125600069652,128.98326722610915,240.8
24,13.757895946502686,230.78125600069652,133.50263453021307,245.1
25,18.350595474243164,230.78125600069652,130.11995977375173,243.6
26,18.66825819015503,230.78125600069652,129.22652789447562,251.5
27,13.736546039581299,230.78125600069652,132.77199365015866,257.4
28,16.202654600143433,230.78125600069652,124.34134253221096,240.1
29,18.52993869781494,230.78125600069652,125.08176221106953,239.8
30,25.468687057495117,230.78125600069652,127.91039057210273,244.6
31,20.013140201568604,230.78125600069652,136.29796805016832,255.9
32,17.353506565093994,230.78125600069652,133.88199303006573,250.0
33,13.723983764648438,230.78125600069652,128.0344365408306,238.1
34,18.852890968322754,230.78125600069652,129.7747447431962,240.1
35,14.18886923789978,230.78125600069652,128.6089754422063,241.2
36,14.585922241210938,230.78125600069652,117.43930718252875,231.9
37,26.534766674041748,230.78125600069652,106.53641686542134,224.6
38,15.354835510253906,230.78125600069652,97.70394282964949,213.7
39,14.405973672866821,230.78125600069652,96.71499826968646,209.2
40,16.85067892074585,230.78125600069652,93.28132950063622,199.7
41,21.099617958068848,230.78125600069652,93.01797413652163,198.2
42,21.116244792938232,230.78125600069652,93.94303006955374,199.0
